Part Number,Brand,Model,Benchmark
BX80701G6400,Intel,Pentium Gold G6400,68.4
,Intel,Core i7-3920XM,68.2
YD3400C5FHBOX,AMD,Ryzen 5 3400G,68.1
,AMD,Ryzen 7 5800U,68.1
,Intel,Xeon X5560,68.1
,Intel,Core i7-10710U,68.0
100-000000085,AMD,Ryzen 3 4300U,68.0
,Intel,Core i7-4960HQ,68.0
BX80646I54670K,Intel,Core i5-4670K,68.0
,Intel,Xeon E31220,67.9
,Intel,Core i3-7101E,67.9
BX80715G7400,Intel,Pentium Gold G7400,67.9
,AMD,Ryzen 9 4900U,67.8
,Intel,Xeon X3460,67.7
,Intel,Core i7 960,67.6
BX80647I74900MQ,Intel,Core i7-4900MQ,67.6
BX80637I53570K,Intel,Core i5-3570K,67.6
BX80662I56600,Intel,Core i5-6600,67.6
,Intel,Xeon L5639,67.5
BX80621E52670,Intel,Xeon E5-2670,67.3
,Intel,Core i7-4910MQ,67.3
,Intel,Core i5-4590S,67.1
BX80623I72600,Intel,Core i7-2600,67.1
,AMD,Ryzen 7 5700U,67.1
BX80646I54690,Intel,Core i5-4690,67.1
,Intel,Xeon W3565,67.0
,Intel,Core i7-2600S,67.0
,Intel,Core i7-1185G7,66.9
