price,part number
388.95,F5-6000J4048F24GX2-FX5
178.95,F5-6000J4048F24GX2-TZ5NR
92.95,F5-6800J3446F48GX2-TZ5RK
358.95,F3-12800CL9D-8GBSR
358.95,CMV8GX3M2A1333C9
238.95,F4-3200C14D-16GVR
187.95,F4-3200C16D-16GSXKB
187.95,F4-3200C16Q-64GSXKB
204.95,F4-4000C17D-16GTZR
199.95,F4-3600C19Q-32GSXWB
186.95,CMK32GX4M4K4133C19
203.95,F4-2666C19D-16GVR
46.5,F4-2666C19D-16GSXW
635.95,CMW32GX4M4C3200C16W
38.95,CMW32GX4M4C3600C18
56.5,CT4G4DFS8266
101.95,F4-4600C18D-16GTRS
55.5,KVR24N17S6L/4
195.95,F4-3200C16Q-32GTRG
158.95,CMW16GX4M2D3600C18
114.95,CMW32GX4M4D3600C18
494.95,CMK64GX4M2A2400C16
50.95,CMT32GX4M4K4266C19
52.95,F4-3000C16D-16GTZN
155.95,F4-3200C16Q-64GTZN
179.95,CMV32GX4M1A2666C18
27.95,F4-3200C16Q-32GFX
325.95,F4-2666C18D-64GTRS
28.5,F4-3200C16Q-32GTRSU
198.95,CMSA64GX4M2A2666C18
79.95,CMW64GX4M4E3200C16
167.95,CMT64GX4M4K3600C18W
189.95,CT16G4DFRA266
849.95,F4-4400C17D-16GVK
63.95,F4-4400C16D-16GVK
253.95,F4-4000C16D-16GTZR
98.95,F4-3600C16Q-128GTZN
101.95,CMT32GX4M2C3600C18
180.95,4XTXU8G1M2666C1
255.95,CMW32GX4M4D3600C16
200.95,F4-2666C19S-32GNT
236.95,F4-2666C19Q-128GVK
365.95,CMT64GX4M4K3600C18W
77.5,F4-4400C18D-16GTRSC
175.95,F4-3600C14Q-64GVK
190.95,F4-3600C14Q-64GTZN
161.95,F4-4000C18D-32GTRG
675.95,F4-4000C16D-16GTRSA
181.95,CMH32GX4M4D3600C18W
82.5,F4-4266C16D-32GTRS
191.95,F4-4000C16D-32GTES
73.5,KF432C16BBA/32
305.95,KF436C18BBK2/64
111.95,KF440C19RBAK2/16
143.95,KF432C16BBK2/32
529.95,KF436C17BBK2/16
607.95,CMK64GX4M4G4000C18
151.95,CMN16GX4M2Z3200C16
174.95,CMN64GX4M2Z3200C16W
163.95,CMN16GX4M2Z3200C16
339.95,CMN64GX4M2Z3200C16
356.95,CMN32GX4M4Z3600C18W
110.95,CMH64GX4M2Z4000C18
264.95,F4-4600C19D-16GVKE
128.95,F4-3600C14D-16GTEGA
92.95,F4-3600C14D-16GTZRA
66.5,F4-4000C14D-16GTRG
