designation,price,description
"WD_Black 3.5"" Gaming Hard Drive 1 To SATA 6Gb/s",79.50,"Western Digital WD Red Pro 18 To - Disque Dur 3.5"" 18 To 512 Mo Serial ATA 6Gb/s 7200 RPM - WD181KFGX (bulk)"
Toshiba P300 1 To,41.25,"Toshiba X300 8 To - Disque dur 3.5"" 8 To 7200 RPM 256 Mo Serial ATA 6 Gb/s"
Western Digital WD Purple Surveillance Hard Drive 3 To SATA 6Gb/s,90.50,"WD_Black 3.5"" Gaming Hard Drive 8 To SATA 6Gb/s - Disque dur 3.5"" 8 To 7200 RPM 128 Mo Serial ATA 6Gb/s - WD8002FZWX"
Toshiba S300 8 To,194.95,"Seagate IronWolf Pro 14 To (ST14000NT001) - Disque dur 3.5"" 14 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Western Digital WD Purple Surveillance Hard Drive 1 To SATA 6Gb/s,48.25,"Seagate SkyHawk 1 To - Disque dur 3.5"" 1 To 64 Mo Serial ATA 6 Gb/s pour Vidéosurveillance (bulk)"
Western Digital Ultrastar DC HA210 1 To (1W10001),91.95,"Western Digital WD Purple Surveillance Hard Drive 6 To SATA 6Gb/s - Disque Dur 3.5"" 6 To 64 Mo 5400 rpm Serial ATA 6Gb/s - WD60PURZ"
Toshiba P300 4 To (Bulk),94.50,"Western Digital Ultrastar DC HC530 14 To (0F31284) - Disque dur serveur 3.5"" 14 To 7200 RPM 512 Mo SATA 6Gb/s 512e (bulk)"
Seagate Exos X16 HDD 10 To (ST10000NM001G),330.95,"Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 512e/4Kn (bulk)"
Seagate IronWolf Pro 18 To (ST18000NE000),492.95,"Western Digital Ultrastar DC HC310 4 To (0B36048) - Disque dur serveur 3.5"" 4 To 7200 RPM 256 Mo SAS 12Gb/s 512e (bulk)"
Western Digital WD Purple 6 To,171.95,"Western Digital Ultrastar DC HC310 6 To (0B36047) - Disque dur serveur 3.5"" 6 To 7200 RPM 256 Mo SAS 12Gb/s 512e (bulk)"
Seagate Exos X16 HDD 10 To (ST10000NM001G),330.95,"Western Digital Ultrastar DC HC510 10 To (0F27604) - Disque dur serveur 3.5"" 10 To 7200 RPM 256 Mo SATA 6Gb/s 512e ISE (bulk)"
Western Digital WD Purple Pro 10 To,296.95,"Western Digital WD Red Pro 14 To SATA 6Gb/s - Disque Dur 3.5"" 14 To 512 Mo Serial ATA 6Gb/s 7200 RPM - WD141KFGX (bulk)"
Western Digital WD Red Pro 18 To,497.95,"Western Digital WD Blue 3 To - Disque dur 3.5"" 3 To 5400 RPM 256 Mo Serial ATA 6Gb/s - WD30EZAZ (bulk)"
Toshiba X300 8 To,203.95,"Seagate SkyHawk AI 16 To (ST16000VE002) - Disque dur 3.5"" 16 To 256 Mo Serial ATA 6 Gb/s pour Vidéosurveillance"
